ParallelSentiScore,ParallelSentiment,ParallelTone,ParallelToneScore,content
"('positive', 0.869)",positive,Excited,"('Excited', 0.5076567256183863)",So Sally both praise Kelly tonight That should tell you everything you need
"('negative', 0.599)",negative,Bored,"('Bored', 0.3372301947888756)",Why be all the Trump accessory wear the same shoe
"('negative', 0.795)",negative,Angry,"('Angry', 0.4542663209997771)",line come People be frustrate theyre feed up they dont think the work for them
"('negative', 0.624)",negative,Bored,"('Bored', 0.5250422456160808)",And Trump be an absolute nut So entertain
"('positive', 0.595)",positive,Excited,"('Excited', 0.22095803429293953)",Top pick their News
"('negative', 0.915)",negative,Bored,"('Bored', 0.28280982747457784)",go after time in the but remain silent about the issue that affect us
"('negative', 0.574)",negative,Bored,"('Bored', 0.327047104078872)",try show up w Trying take him down Trying destroy him Not happen
"('negative', 0.651)",negative,Angry,"('Angry', 0.25497745635561064)",moment for say he wouldnt publicize to the world his answer on
"('positive', 0.593)",positive,Excited,"('Excited', 0.4561554717525013)",I give him a e for his big ego As be earn for excellence with rump
"('positive', 0.962)",positive,Excited,"('Excited', 0.43293925510514275)",Passion of the
"('positive', 0.79)",positive,Excited,"('Excited', 0.3772474637400668)",get the best review and deserve them Read more of our recap of the
"('positive', 0.394)",positive,Excited,"('Excited', 0.38111342594144737)",Cant wait to see which they kill off in the next episode of
"('neutral', 0.645)",neutral,Fear,"('Fear', 0.4503114367554174)",Brutal question to the from Kelly The lesson here be careful what you tweet on Twitter
"('neutral', 0.973)",neutral,Excited,"('Excited', 0.4565338645077727)",watch this
"('negative', 0.456)",negative,Happy,"('Happy', 0.2706618455721872)",Trump change his mind on support PARTIAL BIRTH ABORTION because a friend change their mind on abort have a great
"('positive', 0.86)",positive,Excited,"('Excited', 0.30483637773083183)",Best close statement
"('positive', 0.749)",positive,Happy,"('Happy', 0.41319867993836484)",We have to stop worry about be love start worry about be respect
"('neutral', 0.464)",neutral,Bored,"('Bored', 0.29322167171881136)",Trump want to know what s hide agenda be last night Answer be simple its call a
"('positive', 0.851)",positive,Excited,"('Excited', 0.5391507499066693)",The Real Winner Republican Fox Nation
"('negative', 0.887)",negative,Fear,"('Fear', 0.2945685310973395)",Trump be a really nasty piece of work Hope he disappear quickly
"('negative', 0.69)",negative,Angry,"('Angry', 0.30952538863189794)",ARE NOT UNBORN THEY ARE OF STOP PEOPLE WHO HAD
"('positive', 0.747)",positive,Excited,"('Excited', 0.26800917849182276)",These be far and away the best tweet of last night
"('neutral', 0.437)",neutral,Fear,"('Fear', 0.2588101945777618)",I know now who it be that remind me of actor
"('neutral', 0.507)",neutral,Excited,"('Excited', 0.3853674703899221)",Despite what say I always make sure my prostitute AND her pimp pay and pension
"('neutral', 0.925)",neutral,Excited,"('Excited', 0.24054763380879557)",be watch the like
"('negative', 0.405)",negative,Excited,"('Excited', 0.454713232391101)",do great by challenge the in If these cant handle a tough question they could never b
"('negative', 0.558)",negative,Sad,"('Sad', 0.3916384156696988)",Id say it be the opposite Kelly act like some on whine about feminism Very sad
"('positive', 0.88)",positive,Bored,"('Bored', 0.32060485408399686)",Rightly so Frank Rightly so
"('negative', 0.56)",negative,Bored,"('Bored', 0.30748860390462984)",the number of time that be mention in the be TOO DAMN HIGH
"('negative', 0.541)",negative,Angry,"('Angry', 0.248854176925499)",If Trump be against culture suddenly for it Not even What a howl of a human
"('positive', 0.722)",positive,Angry,"('Angry', 0.19604038962857107)",great close He operate on brain so he doesnt worry about skin color
"('negative', 0.732)",negative,Bored,"('Bored', 0.38198838084813075)",R that would be offend by Misogyny most certainly dont vote Republican Find a new fake issue News
"('negative', 0.466)",negative,Bored,"('Bored', 0.2685221404708925)",Keep religion out of politics
"('negative', 0.66)",negative,Angry,"('Angry', 0.3522644581291484)",I wont be buy I wont be sell after reiterate his point against during
"('negative', 0.702)",negative,Angry,"('Angry', 0.3146656063845492)",Boy I bet the mood in the clown car be go to be TENSE when these jerk leave the
"('positive', 0.931)",positive,Happy,"('Happy', 0.35776443224913956)",Ben do a great job tonight your close statement
"('positive', 0.581)",positive,Happy,"('Happy', 0.3421395713827901)",Meet the new darling of the leave Kelly
"('neutral', 0.435)",neutral,Fear,"('Fear', 0.2505905185327111)",Behind the Fox debate How the anchor hash out the question They
"('neutral', 0.921)",neutral,Fear,"('Fear', 0.5437177222684237)",Did anyone get trash play s drink game
"('neutral', 0.702)",neutral,Angry,"('Angry', 0.2861336442642765)",If donate to can call in a favor later like NOT Thats legal
"('negative', 0.508)",negative,Angry,"('Angry', 0.3219803017854391)",Ugh to think there be actually people sit on their couch last night say YES YES THIS IS REASONABLE
"('positive', 0.888)",positive,Happy,"('Happy', 0.3426848929360539)",Dear
"('neutral', 0.674)",neutral,Angry,"('Angry', 0.28165388894128096)",If politics can be even partially rational campaign for the nomination just end
"('negative', 0.655)",negative,Angry,"('Angry', 0.3271277709546478)",s from last night Doesnt Deserve Ben
"('negative', 0.631)",negative,Angry,"('Angry', 0.2297733974182659)",Walker choose kill mother rather than abort unborn embryo This be reason other give us that funny
"('negative', 0.842)",negative,Bored,"('Bored', 0.4450127207044389)",Cant Abortion be a talk point in the since
"('negative', 0.543)",negative,Sad,"('Sad', 0.3211890177282032)",reminisce about an that no longer exist after Ted Immigration and Nationality Act
"('negative', 0.501)",negative,Fear,"('Fear', 0.27725841844808924)",Cant make this up stop at a ice cream shop before the
"('neutral', 0.579)",neutral,Angry,"('Angry', 0.3146636138641689)",Ted be go to personally take away your telescope and try you as a witch
"('positive', 0.617)",positive,Happy,"('Happy', 0.26326876160651)",You kill it last night at the glad to have some that care for
"('positive', 0.546)",positive,Bored,"('Bored', 0.3076006734344324)",When the be more excite than anything else on in the past
"('positive', 0.537)",positive,Fear,"('Fear', 0.31138461040206794)",its tough to say who be make me more horny
"('negative', 0.55)",negative,Sad,"('Sad', 0.28128665182038665)",ask poor question why be this to help Bush in the poll
"('positive', 0.776)",positive,Excited,"('Excited', 0.24939198694742437)",The be better than I think be though fin issue with sound
"('positive', 0.895)",positive,Excited,"('Excited', 0.39217631423702476)",Yes Marco Actually Said The Invasion Was Not A Mistake
"('positive', 0.895)",positive,Excited,"('Excited', 0.28890675891441897)",Marco Against Unemployment Even Though Needs Them Most
"('positive', 0.858)",positive,Excited,"('Excited', 0.31185973137596207)",be so thoughtful in
"('negative', 0.527)",negative,Angry,"('Angry', 0.38990599465001924)",There will be a lot of job available if Bush serve term because most will have commit suicide
"('positive', 0.81)",positive,Excited,"('Excited', 0.26800998405752663)",Huh Watching debate and so far the and the be better
"('negative', 0.583)",negative,Bored,"('Bored', 0.46551469307225474)",Trump insult and ALL and not one man on stage confront him None of them be worthy to be
"('neutral', 0.648)",neutral,Bored,"('Bored', 0.4079376355896072)",I be wait for to ask When do you stop beat your wife
"('neutral', 0.618)",neutral,Excited,"('Excited', 0.34690210691122414)",About last night Are you watch We get and all the good stuff from the on
"('negative', 0.526)",negative,Bored,"('Bored', 0.29201869599755503)",EARTH TO THIS AINT ABOUT YOU
"('positive', 0.63)",positive,Excited,"('Excited', 0.3804783615259751)",land the first haymaker of the night
"('neutral', 0.919)",neutral,Excited,"('Excited', 0.40160502090634875)",Coming up on at live post
"('negative', 0.742)",negative,Angry,"('Angry', 0.3094623147609267)",Because dont like debrief this AM on
"('negative', 0.907)",negative,Sad,"('Sad', 0.36568502372472234)",from this week include the and Officially The Worst Week Ever
"('positive', 0.895)",positive,Bored,"('Bored', 0.2933109411857554)",can feel comfortable as solve all scientific
"('negative', 0.588)",negative,Angry,"('Angry', 0.5167346381441176)",Of course the wont pledge not to run as a third party candidate
"('neutral', 0.464)",neutral,Fear,"('Fear', 0.28404526798668966)",sum up what last night One of our two major party have go off the deep end
"('neutral', 0.699)",neutral,Excited,"('Excited', 0.38671643243069825)",Just remember no matter win the everyone who watch it lose
"('negative', 0.659)",negative,Sad,"('Sad', 0.2621303924297756)",It cost time more than the it if it be be manage by h
"('negative', 0.984)",negative,Angry,"('Angry', 0.3650871006100872)",you disgrace yourself last night
"('neutral', 0.499)",neutral,Fear,"('Fear', 0.30002603406604966)",Prediction in the final Trump will tear off his mask to reveal a smirk
"('negative', 0.86)",negative,Sad,"('Sad', 0.6732446416436725)",to Please Come Back I Cant Do It Alone
"('neutral', 0.693)",neutral,Excited,"('Excited', 0.23979390203339263)",In midst of come big blow to with announcement that lead Democrat Sen wont b
"('neutral', 0.492)",neutral,Bored,"('Bored', 0.2661337467404039)",Ted be angle himself to be a slightly less loony version of Trump
"('positive', 0.581)",positive,Happy,"('Happy', 0.3421395713827901)",Meet the new darling of the leave Kelly
"('negative', 0.948)",negative,Fear,"('Fear', 0.4636342657705319)",That abortion question disgust
"('negative', 0.673)",negative,Angry,"('Angry', 0.36970542467323686)",and praise and they think they do a good job Not a good thing
"('neutral', 0.472)",neutral,Excited,"('Excited', 0.36216962565879446)",statement on be solely focus on
"('negative', 0.552)",negative,Fear,"('Fear', 0.26472062127134594)",My become a st tier candidate yesterday Otherwise change be ancient
"('negative', 0.504)",negative,Angry,"('Angry', 0.26608621026073187)",a lesson for come quality and not quantity in word time for tangible and believable
"('negative', 0.469)",negative,Excited,"('Excited', 0.4445157557105521)",When and the New York Times be praise the you know they do it completely wrong
"('neutral', 0.403)",neutral,Fear,"('Fear', 0.2597779478716764)",First Republican Debate The Candidate Report Card
"('negative', 0.658)",negative,Sad,"('Sad', 0.25134593420551976)",According to the candidate tweet of the didnt come from a Republican
"('neutral', 0.447)",neutral,Excited,"('Excited', 0.2738411204515543)",display utmost authority at critic say
"('negative', 0.81)",negative,Bored,"('Bored', 0.3248542132123969)",Not one candidate speak up against plan not one condemn his racist comment wont forget
"('positive', 0.96)",positive,Happy,"('Happy', 0.5055547138249014)",be my hero
"('negative', 0.942)",negative,Sad,"('Sad', 0.32722404553444046)",The science council be more worry about climate change than these scary people
"('negative', 0.47)",negative,Angry,"('Angry', 0.43988038667383167)",my very valuable presidential endorsement until I hear about point of view on the amendment
"('neutral', 0.472)",neutral,Excited,"('Excited', 0.36216962565879446)",statement on be solely focus on
"('negative', 0.763)",negative,Angry,"('Angry', 0.30160092393340115)",never have an abortion with and DONT NEED THEM EITHER Basically everyone tonight
"('negative', 0.471)",negative,Angry,"('Angry', 0.35676806141117096)",THIS Rick Gay Marriage No Constitutional Basis
"('negative', 0.821)",negative,Sad,"('Sad', 0.40726811226920356)",Every part of the world have touch be worse today
"('neutral', 0.437)",neutral,Excited,"('Excited', 0.4284596111613937)",win the last night Only candidate who answer question directly and not afraid to take on tough issue
"('positive', 0.974)",positive,Excited,"('Excited', 0.44349445731972575)",The Best at from the Fox News
"('positive', 0.644)",positive,Excited,"('Excited', 0.5297849931885996)",Mike be the star of the focus group show When he speak the feedback
"('positive', 0.831)",positive,Excited,"('Excited', 0.29205737075190535)",Watching the this afternoon I think be the real winner quiet but effective
"('positive', 0.565)",positive,Bored,"('Bored', 0.23216022858611154)",And here come the gay marriage section
